,movie_name,movie_duration,movie_genre,movie_director,movie_release_year
291,One Missed Call,87.0,Horror,ÉricValette,2008.0
292,Left Behind: The Movie,,,VicSarin,
293,A Thousand Words,91.0,Comedy,BrianRobbins,2012.0
294,Gotti,116.0,Drama,RobertHarmon,
295,The Last Days of American Crime,149.0,Action,OlivierMegaton,2020.0
296,Jaws the Revenge,89.0,Mystery & Thriller,JosephSargent,1987.0
297,The Ridiculous 6,119.0,Comedy,FrankCoraci,2017.0
298,Dark Crimes,92.0,Crime,AlexandrosAvranas,2018.0
299,Stratton,95.0,Action,SimonWest,2018.0
300,London Fields,118.0,Mystery & Thriller,MathewCullen,2018.0
301,Return to the Blue Lagoon,102.0,Romance,WilliamGraham,2011.0
302,Problem Child,81.0,Comedy,DennisDugan,2015.0
303,Cabin Fever,102.0,Comedy,MonaJ.Hoel,2016.0
304,Staying Alive,96.0,Drama,SylvesterStallone,2013.0
305,The Disappointments Room,92.0,Horror,D.J.Caruso,2016.0
306,Redline,95.0,Action,AndyCheng,2007.0
307,Homecoming,88.0,Horror,MorganJ.Freeman,2009.0
308,Killing Me Softly,100.0,Mystery & Thriller,ChenKaige,2002.0
309,Scar,92.0,Horror,RahilBhorania,
310,Beneath the Darkness,97.0,Mystery & Thriller,MartinGuigui,2012.0
311,Max Steel,92.0,Sci-Fi,StewartHendler,2016.0
312,Cabin Fever,102.0,Comedy,MonaJ.Hoel,2016.0
313,Simon Sez,82.0,Action,KevinAlynElders,1999.0
314,Constellation,105.0,Drama,JordanWalker-Pearlman,2007.0
315,Stolen,90.0,Documentary,RebeccaDreyfus,
316,Derailed,107.0,Mystery & Thriller,MikaelHåfström,2005.0
317,Dark Tide,93.0,Mystery & Thriller,LucaBercovici,
318,Wagons East!,106.0,Comedy,PeterMarkle,2013.0
319,Folks!,106.0,Comedy,TedKotcheff,
