movie_name,movie_duration,movie_genre,movie_director,movie_release_year
Bí Mật Sau Ánh Mắt,129,Drama,Juan José Campanella,2009
Những Mảnh Ghép Cảm Xúc,95,Animation,Pete Docter,2015
Người Nhện: Không Còn Nhà,148,Action,Jon Watts,2021
Three Billboards: Truy Tìm Công Lý,115,Comedy,Martin McDonagh,2017
Lối Sống Đồi Trụy,93,Drama,Danny Boyle,1996
Cầu Sông Kwai,161,Adventure,David Lean,1957
Thị Trấn Fargo,98,Crime,Joel Coen,1996
Chiến Binh Quyền Anh,140,Action,Gavin O'Connor,2011
Hãy Bắt Tôi Nếu Có Thể,141,Biography,Steven Spielberg,2002
Ngọt Và Đắng,116,Drama,Clint Eastwood,2008
Klaus - Câu Chuyện Giáng Sinh,96,Animation,Sergio Pablos,2019
Hàng Xóm Của Tôi Là Totoro,86,Animation,Hayao Miyazaki,1988
Million Dollar Baby,132,Drama,Clint Eastwood,2004
Harry Potter và Bảo Bối Tử Thần: Phần 2,130,Adventure,David Yates,2011
Những Đứa Trẻ Thiên Đường,89,Drama,Majid Majidi,1997
Tội Phạm Nhân Bản,117,Action,Ridley Scott,1982
12 Năm Nô Lệ,134,Biography,Steve McQueen,2013
Before Sunrise,101,Drama,Richard Linklater,1995
Khách Sạn Đế Vương,99,Adventure,Wes Anderson,2014
Ben-Hur: Truyền Thuyết Đức Chúa Trời,212,Adventure,William Wyler,1959
Cuộc Săn Vàng,95,Adventure,Charles Chaplin,1925
Barry Lyndon,185,Adventure,Stanley Kubrick,1975
Cô Gái Mất Tích,149,Drama,David Fincher,2014
Người Hùng Không Súng,139,Biography,Mel Gibson,2016
In the Name of the Father,133,Biography,Jim Sheridan,1993
On the Waterfront,108,Crime,Elia Kazan,1954
Hồi Ức Kẻ Sát Nhân,131,Crime,Bong Joon Ho,2003
Xe Lửa Tình Yêu,78,Action,Clyde Bruckman,1926
Kẻ Săn Hươu,183,Drama,Michael Cimino,1978
Relatos salvajes,122,Comedy,Damián Szifron,2014
Smultronstället,91,Drama,Ingmar Bergman,1957
Hội Cố Thi Nhân,128,Comedy,Peter Weir,1989
Người Thứ Ba,104,Film-Noir,Carol Reed,1949
